Gmt time,Open,High,Low,Close,Volume
01.01.2017 00:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 01:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 02:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 03:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 04:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 05:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 06:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 07:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 08:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 09:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 10:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 11:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 12:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 13:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 14:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 15:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 16:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 17:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 18:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 19:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 20:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 21:00:00.000,1.05219,1.05219,1.05219,1.05219,0
01.01.2017 22:00:00.000,1.05236,1.05253,1.05221,1.05227,143.54
01.01.2017 23:00:00.000,1.05227,1.05426,1.05226,1.05282,253.14
02.01.2017 00:00:00.000,1.05283,1.05283,1.05268,1.05281,131.4
02.01.2017 01:00:00.000,1.05282,1.05286,1.05225,1.05240,273.94
02.01.2017 02:00:00.000,1.05239,1.05240,1.05164,1.05220,258.14
02.01.2017 03:00:00.000,1.05219,1.05244,1.05184,1.05226,2288.1799
02.01.2017 04:00:00.000,1.05226,1.05232,1.05181,1.05193,711.8
02.01.2017 05:00:00.000,1.05195,1.05197,1.05136,1.05161,288.21
02.01.2017 06:00:00.000,1.05163,1.05176,1.05113,1.05172,390.88
02.01.2017 07:00:00.000,1.05171,1.05243,1.05129,1.05162,3070.0701
02.01.2017 08:00:00.000,1.05159,1.05188,1.04878,1.04899,6903.9502
02.01.2017 09:00:00.000,1.04899,1.04932,1.04779,1.04877,6126.96
02.01.2017 10:00:00.000,1.04879,1.04899,1.04786,1.04815,6102.1201
02.01.2017 11:00:00.000,1.04815,1.04818,1.04774,1.04790,2092.53
02.01.2017 12:00:00.000,1.04792,1.04792,1.04653,1.04663,3961.3501
02.01.2017 13:00:00.000,1.04662,1.04697,1.04617,1.04666,5302.0698
02.01.2017 14:00:00.000,1.04672,1.04763,1.04653,1.04738,6837.75
02.01.2017 15:00:00.000,1.04738,1.04745,1.04647,1.04725,8565.1904
02.01.2017 16:00:00.000,1.04726,1.04800,1.04691,1.04705,1806.41
02.01.2017 17:00:00.000,1.04705,1.04705,1.04627,1.04668,1172.01
02.01.2017 18:00:00.000,1.04667,1.04678,1.04610,1.04619,3437.74
02.01.2017 19:00:00.000,1.04620,1.04652,1.04604,1.04610,3121.25
02.01.2017 20:00:00.000,1.04610,1.04620,1.04575,1.04610,5411.5801
02.01.2017 21:00:00.000,1.04609,1.04609,1.04505,1.04552,9344.9502
02.01.2017 22:00:00.000,1.04556,1.04739,1.04555,1.04637,1460.35
02.01.2017 23:00:00.000,1.04641,1.04722,1.04566,1.04579,9331.0195
03.01.2017 00:00:00.000,1.04578,1.04714,1.04574,1.04665,3570.3101
03.01.2017 01:00:00.000,1.04664,1.04810,1.04647,1.04760,4245.8398
03.01.2017 02:00:00.000,1.04760,1.04784,1.04709,1.04722,3148.0701
03.01.2017 03:00:00.000,1.04723,1.04850,1.04714,1.04850,3512.3899
03.01.2017 04:00:00.000,1.04850,1.04900,1.04819,1.04886,2461.6399
03.01.2017 05:00:00.000,1.04884,1.04903,1.04817,1.04823,2709.23
03.01.2017 06:00:00.000,1.04823,1.04894,1.04814,1.04883,3156.02
03.01.2017 07:00:00.000,1.04884,1.04889,1.04537,1.04604,11100.3398
03.01.2017 08:00:00.000,1.04609,1.04659,1.04206,1.04353,16184.75
03.01.2017 09:00:00.000,1.04354,1.04364,1.04004,1.04018,16074.7002
03.01.2017 10:00:00.000,1.04016,1.04167,1.03961,1.03967,11816.0303
03.01.2017 11:00:00.000,1.03966,1.03998,1.03814,1.03942,12984.0098
03.01.2017 12:00:00.000,1.03942,1.03945,1.03752,1.03893,13954.3301
03.01.2017 13:00:00.000,1.03894,1.03920,1.03820,1.03917,12018.9902
03.01.2017 14:00:00.000,1.03917,1.04082,1.03850,1.03897,14061.96
03.01.2017 15:00:00.000,1.03892,1.03905,1.03405,1.03846,25460.0605
03.01.2017 16:00:00.000,1.03848,1.04339,1.03787,1.04154,22960.3496
03.01.2017 17:00:00.000,1.04152,1.04285,1.04101,1.04272,9072.9102
03.01.2017 18:00:00.000,1.04273,1.04319,1.04136,1.04152,9602.1299
03.01.2017 19:00:00.000,1.04150,1.04151,1.04055,1.04109,6771.0698
03.01.2017 20:00:00.000,1.04108,1.04175,1.04021,1.04021,7786.3999
03.01.2017 21:00:00.000,1.04018,1.04072,1.04018,1.04063,3862.75
03.01.2017 22:00:00.000,1.04061,1.04134,1.04046,1.04100,1942.98
03.01.2017 23:00:00.000,1.04100,1.04245,1.04100,1.04179,7252.4102
04.01.2017 00:00:00.000,1.04179,1.04181,1.03923,1.03947,6999.6699
04.01.2017 01:00:00.000,1.03948,1.04025,1.03902,1.03936,7494.7202
04.01.2017 02:00:00.000,1.03936,1.04065,1.03934,1.04059,6234.46
04.01.2017 03:00:00.000,1.04057,1.04082,1.03980,1.04056,5010.1802
04.01.2017 04:00:00.000,1.04056,1.04097,1.04027,1.04028,4441.7998
04.01.2017 05:00:00.000,1.04028,1.04095,1.04019,1.04068,3849.73
04.01.2017 06:00:00.000,1.04067,1.04148,1.03995,1.04064,5538.3901
04.01.2017 07:00:00.000,1.04065,1.04216,1.04058,1.04174,10334.9102
04.01.2017 08:00:00.000,1.04173,1.04403,1.04154,1.04340,15315.4297
04.01.2017 09:00:00.000,1.04338,1.04457,1.04285,1.04386,12640.9902
04.01.2017 10:00:00.000,1.04384,1.04442,1.04273,1.04326,12208.6602
04.01.2017 11:00:00.000,1.04327,1.04454,1.04277,1.04318,11985.3301
04.01.2017 12:00:00.000,1.04318,1.04416,1.04237,1.04339,12324.8701
04.01.2017 13:00:00.000,1.04342,1.04462,1.04281,1.04394,12936.3096
04.01.2017 14:00:00.000,1.04394,1.04637,1.04369,1.04624,18319.3105
04.01.2017 15:00:00.000,1.04625,1.04809,1.04537,1.04764,19764.4102
04.01.2017 16:00:00.000,1.04764,1.04917,1.04717,1.04755,14894.79
04.01.2017 17:00:00.000,1.04755,1.04841,1.04694,1.04719,8438.7305
04.01.2017 18:00:00.000,1.04720,1.04827,1.04677,1.04785,5620.7598
04.01.2017 19:00:00.000,1.04782,1.05001,1.04521,1.04666,18479.8594
04.01.2017 20:00:00.000,1.04663,1.04870,1.04639,1.04863,8775.7695
04.01.2017 21:00:00.000,1.04861,1.04954,1.04809,1.04911,5079
04.01.2017 22:00:00.000,1.04905,1.04926,1.04836,1.04881,2647.6101
04.01.2017 23:00:00.000,1.04878,1.05015,1.04811,1.04973,3621.1799
05.01.2017 00:00:00.000,1.04971,1.05405,1.04965,1.05405,13696.7197
05.01.2017 01:00:00.000,1.05407,1.05409,1.05103,1.05197,9576.5996
05.01.2017 02:00:00.000,1.05198,1.05291,1.05114,1.05152,6917.3901
05.01.2017 03:00:00.000,1.05146,1.05274,1.05140,1.05207,6399.1401
05.01.2017 04:00:00.000,1.05207,1.05290,1.05180,1.05265,4528.27
05.01.2017 05:00:00.000,1.05265,1.05638,1.05239,1.05417,10961.29
05.01.2017 06:00:00.000,1.05418,1.05751,1.05408,1.05671,8639.4902
05.01.2017 07:00:00.000,1.05666,1.05690,1.05433,1.05597,13244.4902
05.01.2017 08:00:00.000,1.05597,1.05705,1.05048,1.05154,17226.9492
05.01.2017 09:00:00.000,1.05156,1.05237,1.05017,1.05052,14520.6104
05.01.2017 10:00:00.000,1.05052,1.05138,1.04878,1.04890,11416.5996
05.01.2017 11:00:00.000,1.04889,1.05014,1.04827,1.04938,11679.0996
05.01.2017 12:00:00.000,1.04938,1.05183,1.04920,1.05016,11975.9297
05.01.2017 13:00:00.000,1.05016,1.05427,1.04938,1.05308,21886.2598
05.01.2017 14:00:00.000,1.05305,1.05512,1.05280,1.05454,18944.3691
05.01.2017 15:00:00.000,1.05456,1.06090,1.05366,1.06028,27711.1992
05.01.2017 16:00:00.000,1.06027,1.06154,1.05860,1.05988,24103.5195
05.01.2017 17:00:00.000,1.05989,1.06013,1.05921,1.05985,12038.4502
05.01.2017 18:00:00.000,1.05988,1.06074,1.05909,1.05999,9323.6699
05.01.2017 19:00:00.000,1.06002,1.06013,1.05871,1.05919,8842.7002
05.01.2017 20:00:00.000,1.05920,1.05996,1.05888,1.05993,6937.9399
05.01.2017 21:00:00.000,1.05993,1.06101,1.05993,1.06074,3695.1899
05.01.2017 22:00:00.000,1.06085,1.06091,1.06004,1.06027,1965.22
05.01.2017 23:00:00.000,1.06030,1.06134,1.06028,1.06041,4621.5
06.01.2017 00:00:00.000,1.06040,1.06076,1.05856,1.05906,8443.3096
06.01.2017 01:00:00.000,1.05906,1.05919,1.05760,1.05838,10813.4404
06.01.2017 02:00:00.000,1.05841,1.05936,1.05797,1.05876,7845.9502
06.01.2017 03:00:00.000,1.05875,1.05925,1.05803,1.05887,6511.1802
06.01.2017 04:00:00.000,1.05887,1.05916,1.05784,1.05806,6376.46
06.01.2017 05:00:00.000,1.05804,1.05835,1.05769,1.05829,6733.7202
06.01.2017 06:00:00.000,1.05827,1.05883,1.05750,1.05794,7037.73
06.01.2017 07:00:00.000,1.05794,1.05909,1.05745,1.05845,10270.2998
06.01.2017 08:00:00.000,1.05843,1.05981,1.05813,1.05938,10187.3604
06.01.2017 09:00:00.000,1.05938,1.06086,1.05868,1.06012,11105.6299
06.01.2017 10:00:00.000,1.06012,1.06077,1.05899,1.06061,9668.6602
06.01.2017 11:00:00.000,1.06062,1.06064,1.05839,1.05863,8687.3604
06.01.2017 12:00:00.000,1.05861,1.05870,1.05708,1.05799,10740.5195
06.01.2017 13:00:00.000,1.05801,1.06234,1.05397,1.05440,25138.4707
06.01.2017 14:00:00.000,1.05444,1.05692,1.05357,1.05587,21177.6094
06.01.2017 15:00:00.000,1.05585,1.05829,1.05491,1.05731,18685.3906
06.01.2017 16:00:00.000,1.05734,1.05827,1.05511,1.05587,17677.1504
06.01.2017 17:00:00.000,1.05587,1.05620,1.05358,1.05499,11286.1699
06.01.2017 18:00:00.000,1.05498,1.05520,1.05255,1.05260,9463.5098
06.01.2017 19:00:00.000,1.05261,1.05344,1.05251,1.05313,7775.0098
06.01.2017 20:00:00.000,1.05316,1.05356,1.05278,1.05344,6369.9102
06.01.2017 21:00:00.000,1.05346,1.05356,1.05302,1.05346,3266
06.01.2017 22:00:00.000,1.05346,1.05346,1.05346,1.05346,0
06.01.2017 23:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 00:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 01:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 02:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 03:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 04:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 05:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 06:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 07:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 08:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 09:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 10:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 11:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 12:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 13:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 14:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 15:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 16:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 17:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 18:00:00.000,1.05346,1.05346,1.05346,1.05346,0
07.01.2017 19:00:00.000,1.05346,1.05346,1.05346,1.05346,0
